"txid","refid","time","type","subtype","aclass","subclass","asset","wallet","amount","fee","balance"
"L7T3BD-4Z1G5-2EFUJE","IR9UY7S-361GH-9N12O0","2025-07-01 04:01:33","spend","","currency","fiat","EUR","spot / main",-28.3660,0.2827,120.8850
"LV3Z0G-U1UQX-J4EFFF","IR9UY7S-361GH-9N12O0","2025-07-01 04:01:33","receive","","currency","crypto","BTC","spot / main",0.0003102764,0,0.0003102766
"LRDW6E-T32CD-XSEF6Y","39C2MU4-6JD2G-VF6LCP","2025-07-06 10:18:56","spend","","currency","fiat","EUR","spot / main",-28.3660,0.2827,92.2363
"L2277K-XXSY0-VDVEVG","39C2MU4-6JD2G-VF6LCP","2025-07-06 10:18:56","receive","","currency","crypto","BTC","spot / main",0.0003059065,0,0.0006161831
"L70KMI-QD4X9-G7HSFK","R26J1FO-2WB0D-Z6XPYF","2025-07-15 00:49:19","spend","","currency","fiat","EUR","spot / main",-28.3660,0.2827,63.5876
"LXOBUG-VJICS-4I42AF","R26J1FO-2WB0D-Z6XPYF","2025-07-15 00:49:19","receive","","currency","crypto","BTC","spot / main",0.0002827852,0,0.0008989683
"LMCMCU-T6Z84-QCMSWD","VRHX1Z2-YVL55-X7RF1F","2025-07-22 22:07:37","spend","","currency","fiat","EUR","spot / main",-28.3660,0.2827,34.9389
"L1L8SU-GFUST-21K2W2","VRHX1Z2-YVL55-X7RF1F","2025-07-22 22:07:37","receive","","currency","crypto","BTC","spot / main",0.0002795879,0,0.0011785562
"LHMIP5-BX9X3-9IFETZ","4700EIU-E237W-I9LI16","2025-07-28 14:44:51","spend","","currency","fiat","EUR","spot / main",-28.3660,0.2827,6.2902
"LDH7JT-KKUOW-7SFQM9","4700EIU-E237W-I9LI16","2025-07-28 14:44:51","receive","","currency","crypto","BTC","spot / main",0.0002744159,0,0.0014529721
"L9RHIG-ZXV9X-JM6Z6C","CCIV473-J6IUU-KZTV66","2025-08-06 23:02:41","spend","","currency","fiat","EUR","spot / main",-28.3660,0.2827,92.2361
"L85T4B-XVH0T-B4QOD4","CCIV473-J6IUU-KZTV66","2025-08-06 23:02:41","receive","","currency","crypto","BTC","spot / main",0.0002858257,0,0.0017387978
"LQ4MPR-9TOTS-N5U4W9","RSH8YZW-JSCSF-W2Q4NM","2025-08-13 00:56:56","spend","","currency","fiat","EUR","spot / main",-28.3660,0.2827,63.5874
"L8R9RI-GPPD7-OODG0V","RSH8YZW-JSCSF-W2Q4NM","2025-08-13 00:56:56","receive","","currency","crypto","BTC","spot / main",0.0002756153,0,0.0020144131
"L75I63-RMHVK-3QLAVS","MLZ16UF-ZGLI4-UPAQYP","2025-08-22 01:39:38","spend","","currency","fiat","EUR","spot / main",-28.3660,0.2827,34.9387
"L2RVTA-QXPDH-3TKZ6T","MLZ16UF-ZGLI4-UPAQYP","2025-08-22 01:39:38","receive","","currency","crypto","BTC","spot / main",0.0002865362,0,0.0023009493
"L0XY2Y-YF8IW-HL8Z7I","OABT381-8YOP3-WJRMHC","2025-08-23 15:11:19","spend","","currency","fiat","EUR","spot / main",-28.3660,0.2827,6.2900
"L0BPNE-GC2DP-CZ2O8N","OABT381-8YOP3-WJRMHC","2025-08-23 15:11:19","receive","","currency","crypto","BTC","spot / main",0.0002973119,0,0.0025982612
"LQ90SJ-MVOYP-59VQ55","3KWKI85-L8D7C-EDA0IO","2025-09-03 00:17:42","spend","","currency","fiat","EUR","spot / main",-28.3660,0.2827,92.2359
"LEJAN6-3XD45-BA890A","3KWKI85-L8D7C-EDA0IO","2025-09-03 00:17:42","receive","","currency","crypto","BTC","spot / main",0.0002983662,0,0.0028966274
"LIF6WD-G1OEV-ZUBR25","OW9Y1LY-FSPEF-RJYJYU","2025-09-08 17:42:55","spend","","currency","fiat","EUR","spot / main",-28.3660,0.2827,63.5872
"LXGFAT-2XRGI-FL1299","OW9Y1LY-FSPEF-RJYJYU","2025-09-08 17:42:55","receive","","currency","crypto","BTC","spot / main",0.0002933393,0,0.0031899667
"LEXQP5-M3GIT-AZVYV2","V1ITUM4-ULZUS-5PUYRZ","2025-09-15 04:38:37","spend","","currency","fiat","EUR","spot / main",-28.3660,0.2827,34.9385
"LXHM8L-9B3N2-SE05IT","V1ITUM4-ULZUS-5PUYRZ","2025-09-15 04:38:37","receive","","currency","crypto","BTC","spot / main",0.0002871894,0,0.0034771561
"LGKP7L-9KV91-3OZLL1","ZBM21YA-NNREG-8LXUM3","2025-09-22 07:53:30","spend","","currency","fiat","EUR","spot / main",-28.3660,0.2827,6.2898
"LHQ57U-YZHWW-3LTFIU","ZBM21YA-NNREG-8LXUM3","2025-09-22 07:53:30","receive","","currency","crypto","BTC","spot / main",0.0002940116,0,0.0037711677
